Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Seat,Ibiza,3/2024,486 760 Kč,16 058 km,85 kW,Benzín,5 l/100km,Manuál
Nissan,Leaf,10/2021,486 760 Kč,43 090 km,160 kW,Elektro,,Automat
MG,ZS,9/2021,485 760 Kč,26 563 km,105 kW,Elektro,18.6 kWh/100km,Automat
Ford,Kuga,2/2022,483 760 Kč,139 000 km,165 kW,Hybrid,,Automat
Volkswagen,ID.3,10/2021,483 760 Kč,98 000 km,107 kW,Elektro,15.4 kWh/100km,Automat
Škoda,Kamiq,5/2024,482 760 Kč,14 980 km,70 kW,Benzín,5.1 l/100km,Manuál
Mazda,2,6/2023,480 760 Kč,50 000 km,85 kW,Hybrid,4.8 l/100km,Automat
Volkswagen,Golf,8/2021,476 760 Kč,62 471 km,85 kW,Diesel,3.9 l/100km,Manuál
Renault,Kadjar,1/2021,476 760 Kč,88 575 km,85 kW,Diesel,4.3 l/100km,Automat
Seat,Arona,2/2023,475 260 Kč,21 000 km,81 kW,Benzín,4.8 l/100km,Automat
Dacia,Spring,7/2023,473 260 Kč,5 km,48 kW,Elektro,,Automat
Peugeot,Expert,9/2020,470 760 Kč,101 500 km,110 kW,Diesel,5.4 l/100km,Manuál
MINI,Cooper SE,1/2022,467 760 Kč,28 860 km,135 kW,Elektro,,Automat
Ford,Focus,8/2022,463 760 Kč,62 934 km,88 kW,Diesel,4.6 l/100km,Automat
Volkswagen,Golf,10/2021,463 260 Kč,147 768 km,110 kW,Diesel,4 l/100km,Automat
Citroën,C3 Aircross,2/2023,461 760 Kč,24 600 km,81 kW,Diesel,3.6 l/100km,Manuál
Opel,Vivaro,8/2021,461 260 Kč,116 947 km,90 kW,Diesel,5.4 l/100km,Automat
Mazda,MX-30,10/2021,461 260 Kč,18 990 km,107 kW,Elektro,,Automat
Suzuki,SX4 S-Cross,1/2022,460 760 Kč,72 000 km,95 kW,Benzín,5.4 l/100km,Automat
Hyundai,Bayon,12/2024,460 760 Kč,1 km,58 kW,LPG,5.2 l/100km,Manuál
Peugeot,2008,3/2024,460 760 Kč,17 425 km,75 kW,Benzín,5.5 l/100km,Manuál
Fiat,Ducato,8/2021,459 760 Kč,50 404 km,100 kW,CNG,7 kg/100km,Manuál
Hyundai,Kona,5/2021,458 760 Kč,64 000 km,104 kW,Hybrid,3.9 l/100km,Automat
Kia,Stonic,12/2022,458 760 Kč,73 247 km,73 kW,Hybrid,4.5 l/100km,Manuál
Opel,Grandland X,6/2021,458 260 Kč,18 655 km,96 kW,Diesel,3.9 l/100km,Manuál
Volkswagen,ID.3,6/2021,458 260 Kč,119 147 km,107 kW,Elektro,,Automat
Nissan,Leaf,12/2021,453 260 Kč,31 000 km,110 kW,Elektro,,Automat
Renault,Express,2/2023,453 260 Kč,14 600 km,70 kW,Diesel,5 l/100km,Manuál
Citroën,C3,6/2024,451 760 Kč,11 490 km,75 kW,Diesel,4.5 l/100km,Manuál
Volkswagen,Golf,9/2019,450 760 Kč,121 859 km,110 kW,Benzín,5.2 l/100km,Automat
Kia,Niro,11/2020,447 760 Kč,154 136 km,150 kW,Elektro,,Automat
Mazda,MX-30,11/2021,446 260 Kč,21 980 km,107 kW,Elektro,,Automat
Nissan,Leaf,2/2022,445 760 Kč,31 758 km,110 kW,Elektro,,Automat
Nissan,Leaf,2/2022,445 760 Kč,49 500 km,110 kW,Elektro,,Automat
Seat,Ateca,2/2019,443 260 Kč,157 000 km,110 kW,Diesel,4.7 l/100km,Manuál
Hyundai,IONIQ,8/2019,442 260 Kč,25 000 km,88 kW,Elektro,,Automat
Volkswagen,up!,8/2023,441 260 Kč,25 380 km,60 kW,Elektro,,Automat
Citroën,C3,1/2024,439 260 Kč,10 726 km,75 kW,Diesel,4.5 l/100km,Manuál
Jeep,Compass,12/2020,439 260 Kč,125 000 km,96 kW,Benzín,5.7 l/100km,Manuál
Toyota,Corolla,1/2021,435 760 Kč,108 000 km,90 kW,Hybrid,3.6 l/100km,Automat
Seat,Ateca,4/2021,435 760 Kč,99 646 km,110 kW,Diesel,4.7 l/100km,Manuál
Škoda,Fabia,5/2024,433 760 Kč,8 916 km,59 kW,Benzín,4.5 l/100km,Manuál
Dacia,Spring,3/2024,433 260 Kč,4 026 km,48 kW,Elektro,,Automat
Škoda,Octavia,1/2022,433 260 Kč,173 089 km,85 kW,Diesel,4.5 l/100km,Automat
Citroën,C3 Aircross,4/2023,431 760 Kč,33 651 km,81 kW,Benzín,6 l/100km,Manuál
Škoda,Karoq,6/2021,431 260 Kč,139 355 km,85 kW,Diesel,4.3 l/100km,Manuál
Peugeot,208,10/2020,429 760 Kč,31 724 km,100 kW,Elektro,15.5 kWh/100km,Automat
Mitsubishi,Space Star,12/2024,428 760 Kč,0 km,52 kW,Benzín,5.1 l/100km,Manuál
Ford,Transit Custom,11/2014,426 760 Kč,117 000 km,114 kW,Diesel,6.7 l/100km,Manuál
Opel,Astra,2/2023,423 760 Kč,46 000 km,81 kW,Benzín,4.5 l/100km,Manuál
Ford,Kuga,1/2020,423 760 Kč,124 000 km,88 kW,Diesel,5.7 l/100km,Automat
Seat,Leon,9/2021,422 260 Kč,78 000 km,81 kW,Benzín,4.5 l/100km,Automat
MG,ZS,6/2023,421 760 Kč,10 423 km,82 kW,Benzín,6.2 l/100km,Manuál
Hyundai,i30,2/2023,420 260 Kč,93 309 km,88 kW,Benzín,4.9 l/100km,Automat
Audi,A3,2/2020,420 260 Kč,77 451 km,85 kW,Benzín,4.5 l/100km,Manuál
Seat,Ibiza,5/2023,417 760 Kč,15 217 km,70 kW,Benzín,4.7 l/100km,Manuál
Nissan,Leaf,12/2020,415 260 Kč,38 203 km,110 kW,Elektro,17.1 kWh/100km,Automat
Opel,Vivaro,10/2017,413 260 Kč,85 000 km,92 kW,Diesel,6 l/100km,Manuál
Renault,Trafic,5/2019,410 760 Kč,116 920 km,88 kW,Diesel,6.6 l/100km,Manuál
Renault,Master,5/2017,409 260 Kč,144 000 km,125 kW,Diesel,7.1 l/100km,Automat
Škoda,Scala,1/2022,409 260 Kč,25 680 km,81 kW,Benzín,4.8 l/100km,Manuál
BMW,218 Active Tourer,5/2019,408 760 Kč,150 000 km,110 kW,Diesel,5.4 l/100km,Automat
Mazda,MX-30,11/2020,408 760 Kč,39 926 km,107 kW,Elektro,19 kWh/100km,Automat
Toyota,Proace City,4/2023,403 260 Kč,63 115 km,75 kW,Diesel,23.3 l/100km,Manuál
Kia,Picanto,3/2024,401 760 Kč,5 km,49 kW,Benzín,4.9 l/100km,Manuál
MG,ZS,10/2020,401 760 Kč,65 432 km,105 kW,Elektro,,Automat
Opel,Corsa,7/2024,401 760 Kč,1 km,55 kW,Benzín,4.1 l/100km,Manuál
Fiat,500X,1/2020,397 260 Kč,25 000 km,111 kW,Benzín,6.4 l/100km,Automat
Škoda,Octavia,8/2020,396 760 Kč,107 121 km,110 kW,Benzín,5.5 l/100km,Manuál
Kia,Sportage,2/2017,396 760 Kč,79 000 km,97 kW,Benzín,6.3 l/100km,Manuál
Jeep,Renegade,3/2021,396 760 Kč,128 565 km,96 kW,Diesel,4.7 l/100km,Manuál
DR Automobiles,4,6/2022,396 260 Kč,7 904 km,86 kW,LPG,,Manuál
Volkswagen,Golf,8/2020,395 760 Kč,57 335 km,100 kW,Elektro,,Automat
Peugeot,308,10/2021,395 260 Kč,47 500 km,96 kW,Benzín,6 l/100km,Automat
Ford,Mondeo,8/2020,395 260 Kč,150 000 km,110 kW,Diesel,5.2 l/100km,Manuál
Hyundai,i20,1/2024,393 760 Kč,14 400 km,74 kW,Benzín,4.5 l/100km,Manuál
Citroën,C3,8/2023,389 260 Kč,5 km,61 kW,Benzín,5.5 l/100km,Manuál
Ford,Focus,12/2020,389 260 Kč,73 000 km,114 kW,Benzín,3.9 l/100km,Manuál
Hyundai,Bayon,5/2022,386 760 Kč,79 695 km,62 kW,Benzín,5.4 l/100km,Manuál
Seat,Ibiza,8/2022,383 260 Kč,17 550 km,66 kW,CNG,,Manuál
Smart,ForFour,1/2019,382 260 Kč,52 940 km,66 kW,Benzín,5.4 l/100km,Automat
Mitsubishi,Space Star,10/2024,382 260 Kč,0 km,52 kW,Benzín,5 l/100km,Manuál
Peugeot,3008,9/2018,381 260 Kč,142 000 km,96 kW,Diesel,5.2 l/100km,Automat
Mercedes-Benz,Vito,7/2015,381 260 Kč,141 000 km,84 kW,Diesel,6.2 l/100km,Manuál
MINI,ONE,9/2021,378 260 Kč,82 000 km,75 kW,Benzín,5.5 l/100km,Manuál
Citroën,C3,12/2023,375 760 Kč,23 811 km,60 kW,Benzín,5.5 l/100km,Manuál
Ford,Fiesta,2/2022,371 760 Kč,47 803 km,92 kW,Benzín,4.1 l/100km,Manuál
Opel,Corsa,4/2021,369 760 Kč,64 443 km,100 kW,Elektro,15.8 kWh/100km,Automat
Renault,Megane,11/2021,369 760 Kč,128 200 km,85 kW,Diesel,4.6 l/100km,Manuál
Opel,Combo,8/2020,369 260 Kč,66 650 km,75 kW,Diesel,4.2 l/100km,Manuál
Lancia,Ypsilon,4/2022,369 260 Kč,41 200 km,51 kW,Hybrid,4.6 l/100km,Manuál
Renault,Trafic,5/2019,368 760 Kč,150 000 km,89 kW,Diesel,6.2 l/100km,Manuál
Volkswagen,up!,5/2021,367 260 Kč,37 454 km,60 kW,Elektro,,Automat
Dacia,Sandero,11/2023,364 260 Kč,53 820 km,67 kW,LPG,5.4 l/100km,Manuál
MG,ZS,12/2019,350 260 Kč,88 952 km,105 kW,Elektro,,Automat
Škoda,Octavia,1/2021,346 760 Kč,161 346 km,85 kW,Diesel,5.5 l/100km,Manuál
Opel,Zafira,1/2018,333 260 Kč,84 885 km,88 kW,Diesel,4.8 l/100km,Manuál
Citroën,C3,3/2022,319 260 Kč,22 300 km,61 kW,Benzín,5.5 l/100km,Manuál
Seat,Ibiza,6/2020,319 260 Kč,37 000 km,66 kW,CNG,,Manuál
Fiat,Panda,12/2024,316 760 Kč,0 km,51 kW,Benzín,1 l/100km,Manuál
Fiat,Doblo,1/2019,305 760 Kč,84 303 km,70 kW,Benzín,7.3 l/100km,Manuál
Dacia,Sandero,1/2022,303 260 Kč,14 000 km,49 kW,Benzín,5 l/100km,Manuál
Smart,ForTwo,1/2021,301 760 Kč,33 527 km,60 kW,Elektro,,Automat
Smart,ForTwo,2/2022,285 760 Kč,20 680 km,60 kW,Elektro,,Automat
Suzuki,SX4 S-Cross,3/2016,272 260 Kč,161 127 km,88 kW,Benzín,5.9 l/100km,Manuál
Smart,ForTwo,2/2021,268 260 Kč,16 517 km,60 kW,Elektro,,Automat
Fiat,Doblo,5/2015,264 760 Kč,99 000 km,77 kW,Diesel,5.5 l/100km,Manuál
Ford,Focus,8/2014,252 260 Kč,158 949 km,184 kW,Benzín,6.7 l/100km,Manuál
Seat,Ibiza,8/2018,246 760 Kč,148 021 km,66 kW,CNG,5 kg/100km,Manuál
Smart,ForTwo,9/2019,242 760 Kč,15 622 km,60 kW,Elektro,,Automat
Seat,Leon,7/2015,228 260 Kč,166 377 km,92 kW,Benzín,5 l/100km,Manuál
Volkswagen,Golf,12/2016,220 760 Kč,170 000 km,81 kW,Diesel,5 l/100km,Manuál
Volkswagen,Golf,6/2014,216 760 Kč,108 000 km,118 kW,Benzín,,Manuál
MINI,One D,8/2014,190 760 Kč,168 800 km,70 kW,Diesel,3.4 l/100km,Manuál
Volkswagen,up!,10/2012,152 260 Kč,135 266 km,44 kW,Benzín,4.5 l/100km,Manuál
Mercedes-Benz,S 580,11/2024,4 343 260 Kč,0 km,370 kW,Benzín,10.3 l/100km,Automat
Audi,RSQ8,12/2024,4 267 760 Kč,20 km,471 kW,Hybrid,12.1 l/100km,Automat
Land Rover,Range Rover,1/2025,4 219 760 Kč,10 km,338 kW,Hybrid,,Automat
BMW,X5 M,12/2024,4 161 760 Kč,0 km,460 kW,Benzín,13 l/100km,Automat
Audi,RSQ8,12/2024,4 078 760 Kč,10 km,441 kW,Benzín,12.1 l/100km,Automat
Audi,RSQ8,8/2024,4 056 260 Kč,0 km,441 kW,Benzín,12.1 l/100km,Automat
Audi,RS7,12/2024,4 000 760 Kč,0 km,463 kW,Benzín,12 l/100km,Automat
Mercedes-Benz,SLS AMG,2/2012,3 900 760 Kč,49 991 km,420 kW,Benzín,12.9 l/100km,Automat
Land Rover,Range Rover,2/2023,3 642 260 Kč,33 250 km,324 kW,Hybrid,,Automat
Maserati,Grecale,11/2024,3 634 760 Kč,22 km,390 kW,Benzín,11.2 l/100km,Automat
BMW,X5,1/2025,3 610 260 Kč,0 km,390 kW,Benzín,12.5 l/100km,Automat
Audi,RS7,1/2024,3 596 260 Kč,20 000 km,463 kW,Benzín,12 l/100km,Automat
Audi,RS7,6/2024,3 347 260 Kč,100 km,441 kW,Benzín,12 l/100km,Automat
Maserati,Grecale,10/2024,3 333 260 Kč,24 km,390 kW,Benzín,11.2 l/100km,Automat
Land Rover,Range Rover Sport,10/2024,3 263 260 Kč,2 139 km,338 kW,Hybrid,,Automat
Audi,RSQ8,11/2023,3 241 260 Kč,17 650 km,441 kW,Benzín,12.1 l/100km,Automat
Mercedes-Benz,G 500,12/2019,3 188 260 Kč,56 700 km,310 kW,Benzín,11.5 l/100km,Automat
Audi,SQ8,2/2025,3 187 260 Kč,120 km,373 kW,Benzín,12 l/100km,Automat
Porsche,Taycan,10/2024,3 156 760 Kč,9 900 km,440 kW,Elektro,18.2 kWh/100km,Automat
Mercedes-Benz,GLE 53 AMG,5/2024,3 082 760 Kč,34 633 km,400 kW,Hybrid,,Automat
BMW,X5 M,8/2023,2 951 260 Kč,34 000 km,460 kW,Benzín,12.7 l/100km,Automat
Mercedes-Benz,S 350,5/2024,2 924 260 Kč,11 570 km,230 kW,Diesel,,Automat
Mercedes-Benz,GLE 63 AMG,9/2021,2 871 760 Kč,33 931 km,450 kW,Benzín,,Automat
Audi,RS7,9/2023,2 871 760 Kč,45 200 km,441 kW,Benzín,12 l/100km,Automat
Mercedes-Benz,E 53 AMG,7/2024,2 871 260 Kč,5 778 km,430 kW,Hybrid,,Automat
Mercedes-Benz,S 400,1/2023,2 871 260 Kč,32 015 km,243 kW,Diesel,6.7 l/100km,Automat
Mercedes-Benz,S 400,5/2023,2 792 260 Kč,30 215 km,243 kW,Diesel,6.7 l/100km,Automat
Porsche,Taycan,10/2021,2 789 760 Kč,18 300 km,560 kW,Elektro,,Automat
Mercedes-Benz,E 63 AMG,2/2023,2 770 760 Kč,22 142 km,450 kW,Benzín,11.4 l/100km,Automat
BMW,X5 M,2/2023,2 742 260 Kč,32 000 km,460 kW,Benzín,12.7 l/100km,Automat
Mercedes-Benz,GLC 63 AMG,1/2024,2 725 260 Kč,4 000 km,500 kW,Hybrid,,Automat
Chevrolet,Silverado,12/2024,2 679 760 Kč,73 km,309 kW,LPG,,Automat
Maserati,Grecale,12/2024,2 675 760 Kč,0 km,243 kW,Benzín,9.3 l/100km,Automat
BMW,X6,12/2024,2 660 760 Kč,5 km,280 kW,Benzín,10.3 l/100km,Automat
BMW,X6,6/2024,2 631 760 Kč,7 350 km,390 kW,Benzín,10.8 l/100km,Automat
BMW,M3,12/2024,2 614 260 Kč,0 km,390 kW,Benzín,10 l/100km,Automat
Audi,RS6,11/2022,2 612 760 Kč,45 600 km,441 kW,Benzín,12.1 l/100km,Automat
