Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Ford,Explorer,1/2024,1 097 760 Kč,20 km,125 kW,Elektro,,Automat
Jeep,Renegade,3/2022,667 260 Kč,27 408 km,96 kW,Benzín,5.8 l/100km,Automat
Opel,Vivaro,6/2019,493 260 Kč,124 000 km,92 kW,Diesel,6 l/100km,Manuál
Fiat,Talento,6/2020,334 260 Kč,100 000 km,107 kW,Diesel,6.9 l/100km,Manuál
Peugeot,2008,4/2014,126 760 Kč,88 500 km,60 kW,Benzín,4.8 l/100km,Manuál
Audi,A3,12/2024,1 102 760 Kč,0 km,110 kW,Benzín,5.6 l/100km,Automat
Jeep,Renegade,3/2022,667 260 Kč,27 408 km,96 kW,Benzín,5.5 l/100km,Automat
Opel,Astra,1/2021,376 760 Kč,11 111 km,96 kW,Benzín,4.3 l/100km,Manuál
SsangYong,Musso,12/2024,872 260 Kč,25 km,149 kW,Diesel,9.2 l/100km,Automat
Audi,Q8,4/2024,1 395 760 Kč,11 425 km,250 kW,Elektro,23 kWh/100km,Automat
Dacia,Spring,12/2022,351 760 Kč,1 950 km,33 kW,Elektro,13.9 kWh/100km,Automat
DS Automobiles,DS3 Crossback,3/2022,618 760 Kč,5 km,100 kW,Elektro,,Automat
Mercedes-Benz,Vito,10/2018,626 260 Kč,137 446 km,100 kW,Diesel,6.6 l/100km,Automat
Toyota,Hilux,12/2024,1 178 260 Kč,10 km,150 kW,Diesel,7.8 l/100km,Manuál
Volkswagen,Tiguan,7/2017,384 260 Kč,82 000 km,147 kW,Benzín,7.3 l/100km,Automat
Nissan,Townstar,3/2023,445 760 Kč,15 000 km,90 kW,Elektro,,Automat
Volkswagen,ID.5,1/2025,1 116 760 Kč,0 km,220 kW,Elektro,,Automat
Jeep,Renegade,3/2024,640 760 Kč,22 015 km,96 kW,Benzín,5.3 l/100km,Automat
Toyota,Proace,2/2019,385 260 Kč,82 255 km,90 kW,Diesel,5.2 l/100km,Manuál
SsangYong,Rexton,2/2015,283 760 Kč,82 850 km,114 kW,Diesel,9.2 l/100km,Automat
Volvo,C40,12/2024,1 325 260 Kč,0 km,257 kW,Elektro,,Automat
Mercedes-Benz,C 300,11/2023,1 071 760 Kč,12 870 km,230 kW,Hybrid,,Automat
Jeep,Renegade,3/2024,641 760 Kč,21 214 km,96 kW,Benzín,5.3 l/100km,Automat
Mercedes-Benz,Vito,6/2020,740 260 Kč,83 722 km,120 kW,Diesel,7.4 l/100km,Manuál
Renault,Trafic,1/2016,323 260 Kč,147 231 km,88 kW,Diesel,5.8 l/100km,Manuál
Nissan,Ariya,1/2023,1 197 760 Kč,1 km,178 kW,Elektro,,Automat
Citroën,C4,5/2023,601 760 Kč,3 km,100 kW,Elektro,15.5 kWh/100km,Automat
Ford,Ranger,12/2024,1 694 260 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
Alfa Romeo,Tonale,12/2022,793 760 Kč,1 km,118 kW,Benzín,5.7 l/100km,Automat
Toyota,Aygo,4/2013,134 760 Kč,94 000 km,50 kW,Benzín,4.4 l/100km,Manuál
Mercedes-Benz,Vito,12/2017,496 760 Kč,103 427 km,120 kW,Diesel,6.5 l/100km,Manuál
Jeep,Renegade,2/2024,734 260 Kč,10 km,96 kW,Benzín,5.6 l/100km,Automat
Citroën,Jumpy,7/2019,405 260 Kč,72 138 km,90 kW,Diesel,5.4 l/100km,Manuál
Citroën,Jumpy,11/2019,356 760 Kč,169 463 km,90 kW,Diesel,5.4 l/100km,Manuál
Ford,Ranger,12/2024,1 688 260 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
Ford,Transit,2/2021,655 260 Kč,58 000 km,136 kW,Diesel,9.5 l/100km,Automat
Alfa Romeo,Stelvio,6/2021,744 260 Kč,10 500 km,206 kW,Benzín,7 l/100km,Automat
Nissan,Leaf,10/2023,628 760 Kč,8 000 km,160 kW,Elektro,17.8 kWh/100km,Automat
Cupra,Tavascan,8/2024,1 274 260 Kč,880 km,250 kW,Elektro,16.8 kWh/100km,Automat
Renault,Trafic,4/2019,506 260 Kč,81 391 km,89 kW,Diesel,6.2 l/100km,Manuál
Ora,Funky Cat,6/2023,522 760 Kč,2 900 km,126 kW,Elektro,,Automat
Ford,Bronco,7/2024,1 523 260 Kč,1 800 km,246 kW,Benzín,13.4 l/100km,Automat
Volvo,EX30,12/2024,1 127 260 Kč,0 km,315 kW,Elektro,17.5 kWh/100km,Automat
Volkswagen,up!,1/2020,250 760 Kč,173 958 km,44 kW,Benzín,4.4 l/100km,Manuál
Ford,Ranger,3/2025,1 827 260 Kč,10 km,177 kW,Diesel,10.6 l/100km,Automat
BMW,iX1,10/2024,1 029 760 Kč,0 km,150 kW,Elektro,16.7 kWh/100km,Automat
Ford,Transit Custom,9/2021,455 760 Kč,77 230 km,96 kW,Diesel,6.2 l/100km,Manuál
Audi,Q6,1/2025,1 289 260 Kč,3 100 km,215 kW,Elektro,16.1 kWh/100km,Automat
Mercedes-Benz,S 63 AMG,11/2014,1 417 760 Kč,139 900 km,430 kW,Benzín,9.9 l/100km,Automat
Volkswagen,T6 Transporter,11/2015,267 260 Kč,127 000 km,62 kW,Diesel,6.6 l/100km,Manuál
Land Rover,Defender,2/2014,1 214 760 Kč,27 700 km,90 kW,Diesel,11.1 l/100km,Manuál
Volvo,EX30,12/2024,944 260 Kč,0 km,200 kW,Elektro,,Automat
Nissan,Leaf,3/2020,382 760 Kč,64 300 km,110 kW,Elektro,17.1 kWh/100km,Automat
Volvo,EX30,12/2024,945 260 Kč,0 km,200 kW,Elektro,17.5 kWh/100km,Automat
Mercedes-Benz,C 300,11/2023,1 023 260 Kč,9 398 km,230 kW,Hybrid,,Automat
Audi,S5,10/2021,1 162 260 Kč,44 078 km,251 kW,Diesel,6.4 l/100km,Automat
Smart,ForFour,1/2021,285 260 Kč,9 153 km,60 kW,Elektro,18.4 kWh/100km,Automat
Volkswagen,Arteon,4/2024,1 103 760 Kč,9 798 km,235 kW,Benzín,8.9 l/100km,Automat
Fiat,Doblo,6/2015,152 260 Kč,165 773 km,66 kW,Diesel,5.5 l/100km,Manuál
Ford,Ranger,9/2021,588 260 Kč,113 500 km,156 kW,Diesel,7.8 l/100km,Automat
BYD,Dolphin,2/2024,720 760 Kč,9 999 km,150 kW,Elektro,15.9 kWh/100km,Automat
Ford,Ranger,12/2024,1 574 760 Kč,10 km,177 kW,Diesel,10 l/100km,Automat
Volkswagen,ID.3,12/2021,637 260 Kč,0 km,152 kW,Elektro,,Automat
Ford,Ranger,1/2021,801 760 Kč,44 489 km,156 kW,Diesel,7.8 l/100km,Automat
Land Rover,Discovery,11/2024,1 408 260 Kč,17 km,221 kW,Diesel,8.3 l/100km,Automat
Kia,EV3,1/2024,781 760 Kč,1 km,150 kW,Elektro,,Automat
Genesis,GV60,2/2022,1 206 760 Kč,21 850 km,360 kW,Elektro,,Automat
Volkswagen,Touran,1/2023,601 260 Kč,107 200 km,90 kW,Diesel,4.9 l/100km,Manuál
Mazda,MX-30,1/2023,598 260 Kč,12 km,107 kW,Elektro,17.9 kWh/100km,Automat
Audi,e-tron,6/2024,1 442 760 Kč,5 840 km,300 kW,Elektro,,Automat
Mercedes-Benz,C 300,12/2023,1 062 760 Kč,2 500 km,230 kW,Hybrid,,Automat
Toyota,Aygo X,11/2024,434 260 Kč,0 km,53 kW,Benzín,4.1 l/100km,Manuál
Audi,A6 Allroad,5/2022,1 133 760 Kč,53 925 km,253 kW,Diesel,6.3 l/100km,Automat
Mercedes-Benz,B 250,11/2022,573 260 Kč,22 894 km,160 kW,Hybrid,,Automat
MG,ZS,6/2023,681 260 Kč,8 142 km,115 kW,Elektro,,Automat
Opel,Vivaro,7/2019,570 760 Kč,75 510 km,92 kW,Diesel,6 l/100km,Manuál
Ford,Ranger,12/2024,1 680 760 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
MG,MG4,9/2024,602 260 Kč,5 000 km,125 kW,Elektro,17 kWh/100km,Automat
Cupra,Born,2/2022,773 260 Kč,16 490 km,150 kW,Elektro,,Automat
Fiat,Ducato,12/2018,589 760 Kč,23 071 km,96 kW,Diesel,7.1 l/100km,Manuál
Renault,Clio,1/2023,469 260 Kč,20 550 km,105 kW,Hybrid,,Automat
Mercedes-Benz,Citan,11/2024,670 760 Kč,0 km,70 kW,Diesel,5.2 l/100km,Manuál
Volvo,EX30,1/2024,1 261 260 Kč,10 km,343 kW,Elektro,,Automat
BMW,530,3/2022,786 760 Kč,88 867 km,215 kW,Hybrid,,Automat
Fiat,500X,6/2021,700 760 Kč,35 000 km,96 kW,Diesel,5.2 l/100km,Manuál
DS Automobiles,DS3 Crossback,12/2022,602 260 Kč,1 827 km,100 kW,Elektro,,Automat
Volkswagen,T5 Transporter,2/2013,211 760 Kč,63 000 km,62 kW,Diesel,7.6 l/100km,Manuál
Cupra,Tavascan,8/2024,1 270 260 Kč,2 670 km,250 kW,Elektro,16.8 kWh/100km,Automat
Citroën,Jumper,8/2024,818 760 Kč,5 km,103 kW,Diesel,10 l/100km,Manuál
MG,MG4,4/2024,544 260 Kč,7 989 km,125 kW,Elektro,17 kWh/100km,Automat
Citroën,C4,7/2023,681 260 Kč,50 km,100 kW,Elektro,15.3 kWh/100km,Automat
Citroën,C4,9/2023,681 260 Kč,2 km,100 kW,Elektro,15.1 kWh/100km,Automat
Nissan,Leaf,6/2020,382 260 Kč,62 120 km,110 kW,Elektro,17.1 kWh/100km,Automat
Opel,Vivaro,6/2019,349 760 Kč,129 737 km,92 kW,Diesel,6.6 l/100km,Manuál
Opel,Astra,9/2019,284 260 Kč,90 180 km,110 kW,Benzín,5.9 l/100km,Manuál
Renault,Clio,12/2024,623 760 Kč,0 km,105 kW,Hybrid,,Automat
MG,MG4,9/2024,559 760 Kč,100 km,125 kW,Elektro,17 kWh/100km,Automat
